,group_name
0,Taliban
1,Unknown
2,Boko Haram
3,Allied Democratic Forces (ADF)
4,Al-Shabaab
5,Maoists
6,Anti-Semitic extremists
7,Rashtriya Swayamsevak Sangh
8,Islamic State of Iraq and the Levant (ISIL)
9,Communist Party of India - Maoist (CPI-Maoist)
10,Bangladesh Nationalist Party (BNP)
11,Houthi extremists (Ansar Allah)
12,Kataib Hezbollah
13,Tribesmen
14,Jamaat Nusrat al-Islam wal Muslimin (JNIM)
15,New Peoples Army (NPA)
16,Iran-backed militia
17,Southern Yemen Separatists
18,Communist Party of Nepal - Maoist (CPN-Maoist-Chand)
19,Tritiya Prastuti Committee (TPC)
20,Al-Islah Party
21,Caucasus Province of the Islamic State
22,Arakan Army (AA)
23,Separatists
